,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
48,Mat McBriar,DAL,,,,,,,,,,,,,,,,,,,,,,,81,3439,42.5
49,Craig Hentrich,TEN,,,,,,,,,,,,,,,,,,1,27,,,27.0,78,3371,43.2
50,Kyle Richardson,CLE,,,,,,,,,,,,,,,,,,,,,,,78,3181,40.8
51,Chad Stanley,HOU,,,,,,,,,,,,,,,,,,,,,,,77,2990,38.8
52,Derrick Frost,WAS,,,,,,,,,,,,,,,,,,2,122,,,61.0,76,3074,40.4
53,Josh Miller,NWE,,,,,,,,,,,,,,,,,,1,58,,,58.0,76,3431,45.1
54,Ben Graham,NYJ,,,,,,,,,,,,,,,,,,,,,,,74,3233,43.7
55,Jeff Feagles,NYG,,,,,,,,,,,,,,,,,,,,,,,73,3070,42.1
56,Scott Player,ARI,,,,,,,,,,,,,,,,,,1,65,,,65.0,73,3206,43.9
57,Jason Baker,CAR,,,,,,,,,,,,,,,,,,5,293,,,58.6,72,3118,43.3
58,Todd Sauerbrun,DEN,,,,,,,,,,,,,,,,,,79,5142,14,17.7%,65.1,72,3157,43.8
59,Mitch Berger,NOR,,,,,,,,,,,,,,,,,,52,3363,4,7.7%,64.7,71,3066,43.2
60,Chris Kluwe,MIN,,,,,,,,,,,,,,,,,,1,48,,,48.0,71,3130,44.1
61,Brian Moorman,BUF,,,,,,,,,,,,,,,,,,1,58,,,58.0,71,3242,45.7
62,Mike Scifres,SDG,,,,,,,,,,,,,,,,,,7,373,1,14.3%,53.3,71,3104,43.7
63,Chris Gardocki,PIT,,,,,,,,,,,,,,,,,,,,,,,67,2803,41.8
64,Dustin Colquitt,KAN,,,,,,,,,,,,,,,,,,,,,,,65,2564,39.4
65,B.J. Sander,GNB,,,,,,,,,,,,,,,,,,,,,,,64,2508,39.2
66,Tom Rouen,SEA,,,,,,,,,,,,,,,,,,,,,,,61,2539,41.6
67,Kyle Larson,CIN,,,,,,,,,,,,,,,,,,,,,,,60,2591,43.2
68,Hunter Smith,IND,,,,,,,,,,,,,,,,,,,,,,,52,2301,44.3
69,Bryan Barker,STL,,,,,,,,,,,,,,,,,,,,,,,50,2137,42.7
70,Reggie Hodges,2TM,,,,,,,,,,,,,,,,,,,,,,,41,1535,37.4
71,Dirk Johnson,PHI,,,,,,,,,,,,,,,,,,,,,,,39,1615,41.4
72,Sean Landeta,PHI,,,,,,,,,,,,,,,,,,,,,,,34,1483,43.6
73,Leo Araguz,SEA,,,,,,,,,,,,,,,,,,,,,,,18,723,40.2
74,Andy Groom,WAS,,,,,,,,,,,,,,,,,,,,,,,11,429,39.0
75,Darren Bennett,MIN,,,,,,,,,,,,,,,,,,,,,,,8,300,37.5
76,Nick Murphy,PHI,,,,,,,,,,,,,,,,,,,,,,,7,275,39.3
77,Ryan Flinn,GNB,,,,,,,,,,,,,,,,,,,,,,,6,218,36.3
78,Ben Roethlisberger,PIT,QB,,,,,,,,,,,,,,,,,,,,,,2,72,36.0
79,Doug Flutie,NWE,,,,,,,,,,,,,,,1,1,100.0%,,,,,,,,
80,Remy Hamilton,DET,,,,,,,,,,,,,,,1,,0.0%,2,132,,,66.0,,,
81,Mark Simoneau,PHI,,,,,,,,,,,,,,,2,1,50.0%,,,,,,,,
